X,Y,NAME,ADDRESS,ZIPCODE,PHONE,NUMROOMS,WEB_URL,XCOORD,YCOORD,GIS_ID,MAR_ID,SE_ANNO_CAD_DATA,CREATED,EDITED,GLOBALID,OBJECTID
-8574583.42380329,4717672.12230263,MOTEL 6 WASHINGTON DC,6711 GEORGIA AVENUE NW,20012,202-722-1600,72,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,397678.38,144905.56,temp_62,285354,,,,{1142D291-C226-42A4-84E6-B252646D5A51},1
-8581050.12166392,4716054.30850869,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,4300 MILITARY ROAD NW,20015,202-362-9300,198,http://www.embassysuitesdcmetro.com/,392643.24,143654.27,temp_37,301908,,,,{0BE95693-60CB-406A-A816-51AD06DC2E08},2
-8575540.46751526,4715432.4959192,INTERNATIONAL GUEST HOUSE,1441 KENNEDY STREET NW,20011,202-726-5808,12,https://igh-dc.com/,396932.7,143169.27,temp_53,255891,,,,{63CEFF8E-6AB7-4886-A1D2-3F8A476BB422},3
-8578904.3360595,4714076.46902836,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,4400 CONNECTICUT AVENUE NW,20008,202-244-5600,155,http://www.dcdaysinn.com/,394312.78,142119.11,temp_29,222132,,,,{4CBB73B8-C6F9-4FF9-BF56-11196E23925B},4
-8574762.83766631,4711638.71005815,ASANTE SANA INN,1207 KENYON STREET NW,20010,202-570-1281,6,,397537.26,140226.6,temp_6,231121,,,,{434825F8-89DB-42FA-A891-E5899A320F90},5
-8577782.59903509,4711386.72047161,THE KALORAMA GUEST HOUSE,2700 CATHEDRAL AVENUE NW,20008,202-588-8188,11,http://kaloramaguesthouse.com/,395185.03,140032.2,temp_91,284453,,,,{98A100F1-477F-4685-AA99-8A4777D121C4},6
-8583036.84194258,4711183.64738197,LUXBNB,5185 MACARTHUR BOULEVARD NW,20016,202-341-8799,,https://www.luxbnb.com/,391092.19,139878.21,temp_151,275285,,,,{8E13FABB-3C6F-4682-8D2C-296165ADD81A},7
-8577582.79889452,4711059.54150811,WOODLEY PARK GUEST HOUSE,2647 WOODLEY ROAD NW,20008,202-667-0218,15,http://www.dcinns.com/woodley.html,395340.51,139778.29,temp_132,219986,,,,{197865A7-6851-4CDC-8398-BE9CC438599A},8
-8577690.08858629,4710894.66537117,WASHINGTON MARRIOTT WARDMAN PARK,2660 WOODLEY ROAD NW,20008,202-328-2000,1300,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,395256.86,139650.43,temp_127,284450,,,,{207690BE-6EE9-4E63-8C74-BE305C863AB8},9
-8576231.71511286,4710869.06497749,ADAM'S INN,1746 LANIER PLACE NW,20009,202-745-3600,26,http://adamsinn.com/,396392.87,139629.97,temp_2,307146,,,,{680D04F3-C690-4FB1-B2C1-D7FE9A395B05},10
-8579700.06261153,4710693.05175542,KIMPTON GLOVER PARK HOTEL,2505 WISCONSIN AVENUE NW,20007,202-337-9700,150,https://www.gloverparkhotel.com,393691.04,139495.11,temp_78,301508,,,,{02808839-88B9-4D2D-B373-42F47B3E1477},11
-8576243.34605278,4710615.41509619,THE LINE DC,1770 EUCLID STREET NW,20009,202-588-0525,,https://www.thelinehotel.com/dc/,396383.72,139433.19,temp_143,235625,,,,{EA7056C1-F5A7-4172-A1E0-95C702252579},12
-8577574.94005963,4710595.51117624,OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,20008,202-234-0700,832,https://www.omnihotels.com/hotels/washington-dc-shoreham,395346.42,139418.29,temp_64,277165,,,,{98E9A64D-20C2-46AE-A694-B4DED8E4C499},13
-8576308.66021367,4710277.97956129,HIGHROAD HOSTE,1804 BELMONT ROAD NW,20009,202-735-3622,,http://highroadhostels.com/,396332.72,139171.42,temp_160,235426,,,,{7945147B-CAC0-447E-BF29-B7B6193D5F27},14
-8577005.48921802,4709955.34274495,WINDSOR PARK HOTEL,2116 KALORAMA ROAD NW,20008,202-483-7700,43,http://www.windsorparkhotel.com/,395789.75,138921.37,temp_131,234981,,,,{CBC65A5E-74AD-4387-B643-A0FB1B3A9F69},15
-8568328.19602156,4709930.37632468,DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,2700 NEW YORK AVENUE NE,20002,202-832-5800,195,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-gateway/overview,402549.67,138901.29,temp_30,287175,,,,{4ACC04D6-A4E0-4D0B-8480-DC502E66CBAD},16
-8576715.38080132,4709892.49341421,AMERICAN GUEST HOUSE,2005 COLUMBIA ROAD NW,20009,202-588-1180,12,http://www.americanguesthouse.com/,396015.73,138872.49,temp_5,235122,,,,{7BF4C1B3-BB38-4FBE-A975-B71FD9247A7B},17
-8569371.48883321,4709851.39446334,QUALITY INN  & SUITES NEW YORK AVE,1600 NEW YORK AVENUE NE,20002,202-832-3200,134,https://www.choicehotels.com/district-of-columbia/washington/quality-inn-hotels/dc012,401736.92,138839.79,temp_21,60554,,,,{AAFD8E51-6E10-4AD4-8AF8-FFBBA411E3DC},18
-8576892.69605187,4709832.09625495,THE NORMANDY HOTEL,2118 WYOMING AVENUE NW,20008,202-483-1350,75,http://www.thenormandydc.com/,395877.57,138825.7,temp_95,235029,,,,{224BE920-757B-4743-9662-F5E8D98770AF},19
-8568427.17673667,4709766.87687645,"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",2305 NEW YORK AVENUE NE,20002,202-266-3000,126,http://www.marriott.com/hotels/travel/wasna-fairfield-inn-and-suites-washington-dc-new-york-avenue/,402472.6,138774.41,temp_41,307042,,,,{C234A095-4423-40AB-A272-B0539582A1A8},20
-8569427.10616341,4709741.23509367,IVY CITY HOTEL,1615 NEW YORK AVENUE NE,20002,202-529-3900,58,https://www.ivycityhotel.com/,401693.61,138754.31,temp_11,286348,,,,{1AAB7442-BA43-4D1B-A639-51ACBFB33EB3},21
