,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,burn-in,n,T,num_cells_per_dim,time_block_length,kappa,true_GATE
0,0.5548327217628333,0.9597596756562062,0.40492695389337297,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
1,0.5665110719010616,1.0542476440534838,0.48773657215242217,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
2,0.5638432979171067,1.0790423133808642,0.5151990154637575,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
3,0.5689167369818382,1.0725697698493122,0.503653032867474,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
4,0.5773841048324826,1.0275157310894543,0.4501316262569717,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
5,0.5528892367313031,0.9570886046997734,0.40419936796847034,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
6,0.5668999544302894,1.0611579224686731,0.49425796803838373,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
7,0.5831972353387268,1.0663078462240514,0.4831106108853246,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
8,0.5576046569106847,1.047035120550041,0.4894304636393563,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
9,0.5573185799779721,1.0237420746057804,0.4664234946278083,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
10,0.5617324064637379,1.0020346073534814,0.4403022008897435,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
11,0.560004982316229,1.0248432507762277,0.46483826845999876,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
12,0.5836131012483242,1.0311411485032977,0.4475280472549735,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
13,0.5595452367012517,1.0063689722360787,0.446823735534827,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
14,0.5622007165430589,0.978694139983359,0.41649342344030005,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
15,0.5567462306112229,0.9771164679687535,0.42037023735753065,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
16,0.5791228254069971,1.0387825403143238,0.4596597149073267,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
17,0.5621950296714223,0.968654147793713,0.40645911812229063,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
18,0.5621240981418576,1.012509333772507,0.45038523563064947,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
19,0.5733495085027963,1.0712997871272176,0.4979502786244213,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
20,0.5557197466312502,1.0242132072619656,0.4684934606307154,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
21,0.5639121982092881,1.02644172302792,0.46252952481863185,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
22,0.568802686412584,1.0342714669389572,0.4654687805263732,Diff-Means(burn-in=5),DM,5,100,10000,1,60,0.2,1.0121036393762477
